Code,Description
A12,Fund Raising & Fund Distribution
T12,Fund Raising & Fund Distribution
R26,Lesbian & Gay Rights
Y23,Mutual Insurance Companies & Associations
D32,Bird Sanctuaries
W60,Financial Institutions
A01,Alliances & Advocacy
G42,Ear & Throat Diseases
F33,Residential Mental Health Treatment
O42,Girl Scouts of the U.S.A.
W20,Government & Public Administration
S21,Community Coalitions
N60,Amateur Sports
W11,Single Organization Support
P29,Thrift Shops
V24,Political Science
N01,Alliances & Advocacy
B40,Higher Education
G48,Brain Disorders
O53,Youth Development - Business
X12,Fund Raising & Fund Distribution
N31,Community Recreational Centers
O30,Adult & Child Matching Programs
Y30,Pension & Retirement Funds
W19,Support N.E.C.
V02,Management & Technical Assistance
T11,Single Organization Support
X50,Buddhism
A69,Symphony Orchestras
Q70,International Human Rights
O51,Youth Community Service Clubs
T22,Private Independent Foundations
V21,Anthropology & Sociology
Y40,Fraternal Societies
U02,Management & Technical Assistance
G01,Alliances & Advocacy
E60,Health Support
P84,Ethnic &  Immigrant Centers
E30,Ambulatory & Primary Health Care
R40,Voter Education & Registration
O03,Professional Societies & Associations
E50,Rehabilitative Care
Q51,International Economic & Trade Policy
U05,Research Institutes & Public Policy Analysis
G84,Autism
Y33,Teachers Retirement Fund Associations
J05,Research Institutes & Public Policy Analysis
U11,Single Organization Support
R29,Employee & Workers' Rights
R11,Single Organization Support
S80,Community Service Clubs
H90,Medical Disciplines Research
P81,Senior Centers
T70,Federated Giving Programs
F99,Mental Health & Crisis Intervention N.E.C.
L19,Support N.E.C.
D02,Management & Technical Assistance
I02,Management & Technical Assistance
E05,Research Institutes & Public Policy Analysis
L01,Alliances & Advocacy
S47,Real Estate Associations
Q34,International Educational Development 
T90,Named Trusts N.E.C.
M02,Management & Technical Assistance
O55,Youth Development - Religious Leadership
F40,Hot Lines & Crisis Intervention
Q30,International Development
C03,Professional Societies & Associations
O99,Youth Development N.E.C.
P86,Blind & Visually Impaired Centers
Q38,"International Environment, Population & Sustainability "
R19,Support N.E.C.
E92,Home Health Care
K05,Research Institutes & Public Policy Analysis
F05,Research Institutes & Public Policy Analysis
H84,Autism Research
A25,Arts Education
Q32,International Economic Development
B70,Libraries
Y35,Multi-Employer Pension Plans
F03,Professional Societies & Associations
G96,Neurology & Neuroscience
M20,Disaster Preparedness & Relief Services
N69,Equestrian
E80,Health (General & Financing)
Q02,Management & Technical Assistance
R23,Disabled Persons Rights
P62,Victims Services
B80,Student Services
O40,Scouting
U19,Support N.E.C.
H40,Diseases of Specific Organs Research
P33,Child Day Care
J02,Management & Technical Assistance
H48,Brain Disorders Research
B03,Professional Societies & Associations
L05,Research Institutes & Public Policy Analysis
O02,Management & Technical Assistance
Q21,International Cultural Exchange
H01,Alliances & Advocacy
W80,Public Utilities
R12,Fund Raising & Fund Distribution
O50,Youth Development Programs
P82,Developmentally Disabled Centers
M41,First Aid
R24,Womens Rights
J,Employment
R02,Management & Technical Assistance
I11,Single Organization Support
N61,Fishing & Hunting
P,Human Services
M40,Safety Education
N62,Basketball
F54,Gambling Addiction
I70,Protection Against Abuse
B02,Management & Technical Assistance
M42,Automotive Safety
F31,Psychiatric Hospitals
A03,Professional Societies & Associations
J30,Vocational Rehabilitation
E31,Group Health Practices
S30,Economic Development
S41,Chambers of Commerce & Business Leagues
G99,Voluntary Health Associations & Medical Disciplines N.E.C.
V26,Law & Jurisprudence
O52,Youth Development - Agricultural
X02,Management & Technical Assistance
Y02,Management & Technical Assistance
P11,Single Organization Support
I19,Support N.E.C.
O31,Big Brothers & Big Sisters
S99,Community Improvement & Capacity Building N.E.C.
D30,Wildlife Preservation & Protection
U36,Geology
H,Medical Research
C19,Support N.E.C.
Q03,Professional Societies & Associations
F,Mental Health & Crisis Intervention
I73,Sexual Abuse Prevention
X82,Religious Television
E32,Community Clinics
A53,Folk Arts Museums
L,Housing & Shelter
G45,Lung Diseases
V99,Social Science N.E.C.
J21,Vocational Counseling
S40,Business & Industry
G98,Pediatrics
W70,Leadership Development
P70,Residential Care & Adult Day Programs
X90,Interfaith Coalitions
N03,Professional Societies & Associations
M11,Single Organization Support
G9B,Surgical Specialties
O19,Support N.E.C.
G30,Cancer
Q11,Single Organization Support
V22,Economics
O41,Boy Scouts of America
A27,Community Celebrations
L30,Housing Search Assistance
A82,Historical Societies & Historic Preservation
H41,"Eye Diseases, Blindness & Vision Impairments Research"
A02,Management & Technical Assistance
U33,Chemistry & Chemical Engineering
Y44,Voluntary Employees Beneficiary Associations  Government)
X81,Religious Film & Video
E90,Nursing
S03,Professional Societies & Associations
M01,Alliances & Advocacy
X40,Islam
H61,Asthma Research
K35,Soup Kitchens
W99,Public & Societal Benefit N.E.C.
X99,Religion-Related N.E.C.
P02,Management & Technical Assistance
P50,Personal Social Services
E03,Professional Societies & Associations
Q,"International, Foreign Affairs & National Security"
J40,Labor Unions
D60,Animal Services N.E.C.
M23,Search & Rescue Squads
I51,Dispute Resolution & Mediation
E01,Alliances & Advocacy
K40,Nutrition
F11,Single Organization Support
L40,Temporary Housing
W,Public & Societal Benefit
F50,Addictive Disorders N.E.C.
F70,Mental Health Disorders
O43,Camp Fire
E42,Family Planning
P52,Transportation Assistance
H54,Epilepsy Research
O22,Girls Clubs
P44,In-Home Assistance
D03,Professional Societies & Associations
K28,Farm Bureaus & Granges
I12,Fund Raising & Fund Distribution
A61,Performing Arts Centers
M99,"Public Safety, Disaster Preparedness & Relief N.E.C."
G44,Kidney Diseases
P24,Salvation Army
J11,Single Organization Support
E24,Specialty Hospitals
F53,Eating Disorders & Addictions
H20,Birth Defects & Genetic Diseases Research
S01,Alliances & Advocacy
P85,Homeless Centers
D05,Research Institutes & Public Policy Analysis
N68,Winter Sports
V11,Single Organization Support
C32,"Water Resources, Wetlands Conservation & Management"
G12,Fund Raising & Fund Distribution
D33,Fisheries Resources
A50,Museums
T03,Professional Societies & Associations
T30,Public Foundations
T01,Alliances & Advocacy
P32,Foster Care
B11,Single Organization Support
D50,Zoos & Aquariums
U99,Science & Technology N.E.C.
C34,Land Resources Conservation
C27,Recycling
J33,Sheltered Employment
A34,Radio
O01,Alliances & Advocacy
H98,Pediatrics Research
A68,Music
H43,Heart & Circulatory System Diseases & Disorders Research
W02,Management & Technical Assistance
V20,Social Science
M05,Research Institutes & Public Policy Analysis
G41,"Eye Diseases, Blindness & Vision Impairments"
C30,Natural Resources Conservation & Protection
H60,Allergy-Related Diseases Research
K26,Animal Husbandry
S81,Womens Service Clubs
T23,Private Operating Foundations
V31,Black Studies
E70,Public Health
E20,Hospitals
N02,Management & Technical Assistance
V05,Research Institutes & Public Policy Analysis
S20,Community & Neighborhood Development
E21,Community Health Systems
L80,Housing Support
Q01,Alliances & Advocacy
T,"Philanthropy, Voluntarism & Grantmaking Foundations"
E19,Support N.E.C.
N67,Swimming & Other Water Recreation
V33,Ethnic Studies
G25,Down Syndrome
K02,Management & Technical Assistance
B41,Two-Year Colleges
Z99,Unknown
J01,Alliances & Advocacy
C,Environment
I30,Correctional Facilities
F32,Community Mental Health Centers
N50,Recreational Clubs
A6C,Bands & Ensembles
I03,Professional Societies & Associations
H03,Professional Societies & Associations
M24,Fire Prevention
X19,Support N.E.C.
D01,Alliances & Advocacy
G19,Support N.E.C.
A05,Research Institutes & Public Policy Analysis
S22,Neighborhood & Block Associations
L12,Fund Raising & Fund Distribution
H44,Kidney Diseases  Research
C42,Garden Clubs
B83,Student Sororities & Fraternities
M,"Public Safety, Disaster Preparedness & Relief"
B94,Parent & Teacher Groups
H81,AIDS Research
E11,Single Organization Support
G50,"Nerve, Muscle & Bone Diseases"
R61,Reproductive Rights
O12,Fund Raising & Fund Distribution
A33,Printing & Publishing
S,Community Improvement & Capacity Building
F20,"Substance Abuse Dependency, Prevention & Treatment"
P99,Human Services N.E.C.
K25,Farmland Preservation
H42,Ear & Throat Diseases Research
T02,Management & Technical Assistance
H11,Single Organization Support
R20,Civil Rights
N05,Research Institutes & Public Policy Analysis
H25,Down Syndrome Research
K50,Home Economics
H51,Arthritis Research
V30,Interdisciplinary Research
G20,Birth Defects & Genetic Diseases
G32,Breast Cancer
B12,Fund Raising & Fund Distribution
L82,Housing Expense Reduction Support
W05,Research Institutes & Public Policy Analysis
S02,Management & Technical Assistance
R65,Freedom of Religion Issues
C35,Energy Resources Conservation & Development
R28,Children's Rights
R01,Alliances & Advocacy
L25,Housing Rehabilitation
A80,Historical Organizations
J99,Employment N.E.C.
J20,Employment Preparation & Procurement
Y41,Fraternal Beneficiary Societies
U30,Physical & Earth Sciences
N52,Fairs
E02,Management & Technical Assistance
X83,Religious Printing & Publishing
H05,Research Institutes & Public Policy Analysis
G80,Specifically Named Diseases
Y01,Alliances & Advocacy
B20,Elementary & Secondary Schools
P40,Family Services
J03,Professional Societies & Associations
U12,Fund Raising & Fund Distribution
I99,Crime & Legal-Related N.E.C.
B29,Charter Schools
G40,Diseases of Specific Organs
E22,General Hospitals
P28,Neighborhood Centers
B30,Vocational & Technical Schools
L41,Homeless Shelters
C20,Pollution Abatement & Control
N40,Sports Associations & Training Facilities
S32,Rural Economic Development
H30,Cancer Research
U21,Marine Science & Oceanography
C60,Environmental Education
I23,Drunk Driving-Related
Q50,"International Affairs, Foreign Policy, & Globalization"
L20,"Housing Development, Construction & Management"
N70,Amateur Sports Competitions
R21,Immigrants' Rights
G51,Arthritis
G81,AIDS
A62,Dance
E99,Health Care N.E.C.
O20,Youth Centers & Clubs
V23,Behavioral Science
H02,Management & Technical Assistance
A6A,Opera
Q20,Promotion of International Understanding
I60,Law Enforcement
P20,Human Service Organizations
A52,Children's Museums
L11,Single Organization Support
K30,Food Programs
L02,Management & Technical Assistance
V34,Urban Studies
A56,Natural History & Natural Science Museums
Q33,International Relief
Y34,Employee Funded Pension Trusts
Y50,Cemeteries
H99,Medical Research N.E.C.
R03,Professional Societies & Associations
U34,Mathematics
A65,Theater
H50,"Nerve, Muscle & Bone Diseases Research"
N32,Parks & Playgrounds
F52,Smoking Addiction
D12,Fund Raising & Fund Distribution
S31,Urban & Community Economic Development
S46,Boards of Trade
N66,Racquet Sports
W40,Public Transportation Systems
G61,Asthma
F21,Substance Abuse Prevention
X22,Roman Catholic
O54,Youth Development - Citizenship
P26,Volunteers of America
F42,Sexual Assault Services
W30,Military & Veterans Organizations
W03,Professional Societies & Associations
D,Animal-Related
O23,Boys & Girls Clubs
L21,Low-Income & Subsidized Rental Housing
C05,Research Institutes & Public Policy Analysis
B42,Undergraduate Colleges
G70,Digestive Diseases & Disorders
B90,Educational Services
H9B,Surgical Specialties Research
I21,Youth Violence Prevention
P61,Travelers Aid
L99,Housing & Shelter N.E.C.
E91,Nursing Facilities
P74,Hospices
P47,Pregnancy Centers
A60,Performing Arts
P01,Alliances & Advocacy
Q41,Arms Control & Peace
V12,Fund Raising & Fund Distribution
A32,Television
N,Recreation & Sports
K,"Food, Agriculture & Nutrition"
A6E,Performing Arts Schools
R05,Research Institutes & Public Policy Analysis
G03,Professional Societies & Associations
P71,Adult Day Care
A26,Arts & Humanities Councils & Agencies
R22,Minority Rights
A90,Arts Services
X21,Protestant
O21,Boys Clubs
V19,Support N.E.C.
B25,Secondary & High Schools
B28,Special Education
A11,Single Organization Support
A30,Media & Communications
Z,Unknown
P87,Deaf & Hearing Impaired Centers
X20,Christianity
F30,Mental Health Treatment
X70,Hinduism
I43,Inmate Support
B43,Universities
K12,Fund Raising & Fund Distribution
F60,Counseling
V32,Womens Studies
X01,Alliances & Advocacy
Y42,Domestic Fraternal Societies
P80,Centers to Support the Independence of Specific Populations
U20,General Science
A51,Art Museums
I,Crime & Legal-Related
R25,Seniors Rights
Y22,Local Benevolent Life Insurance Associations
K99,"Food, Agriculture & Nutrition N.E.C."
W12,Fund Raising & Fund Distribution
A57,Science & Technology Museums
V35,International Studies
G60,Allergy-Related Diseases
D11,Single Organization Support
N19,Support N.E.C.
H32,Breast Cancer Research
A31,Film & Video
G43,Heart & Circulatory System Diseases & Disorders
Y,Mutual & Membership Benefit
Q42,United Nations Associations
N71,Olympics
T21,Corporate Foundations
Y05,Research Institutes & Public Policy Analysis
E12,Fund Raising & Fund Distribution
V01,Alliances & Advocacy
V25,Population Studies
I83,Public Interest Law
U31,Astronomy
P75,Supportive Housing for Older Adults
L22,Senior Citizens Housing & Retirement Communities
B21,Preschools
W90,Consumer Protection
R67,Right to Die & Euthanasia
E86,Patient & Family Support
F19,Support N.E.C.
D61,Animal Training
P19,Support N.E.C.
R30,Intergroup & Race Relations
Y19,Support N.E.C.
K20,Agricultural Programs
Q35,International Democracy & Civil Society Development
R,"Civil Rights, Social Action & Advocacy"
N65,Football
A63,Ballet
X05,Research Institutes & Public Policy Analysis
S19,Support N.E.C.
R63,"Censorship, Freedom of Speech & Press"
P76,Homes for Children & Adolescents
S82,Mens Service Clubs
T50,"Philanthropy, Charity & Voluntarism Promotion"
F02,Management & Technical Assistance
P73,Group Homes
I71,Spouse Abuse Prevention
P88,LGBT Centers
R60,Civil Liberties
F01,Alliances & Advocacy
I40,Rehabilitation Services for Offenders
N20,Camps
W01,Alliances & Advocacy
I44,Prison Alternatives
C02,Management & Technical Assistance
X30,Judaism
C50,Environmental Beautification
U01,Alliances & Advocacy
I01,Alliances & Advocacy
Y24,Supplemental Unemployment Compensation
N30,Physical Fitness & Community Recreational Facilities
B05,Research Institutes & Public Policy Analysis
M19,Support N.E.C.
K19,Support N.E.C.
P03,Professional Societies & Associations
J19,Support N.E.C.
P21,American Red Cross
C01,Alliances & Advocacy
S12,Fund Raising & Fund Distribution
U41,Computer Science
S11,Single Organization Support
Y03,Professional Societies & Associations
D40,Veterinary Services
V36,Gerontology
K03,Professional Societies & Associations
A23,Cultural & Ethnic Awareness
S50,Nonprofit Management
Q99,"International, Foreign Affairs & National Security N.E.C."
I05,Research Institutes & Public Policy Analysis
B01,Alliances & Advocacy
N12,Fund Raising & Fund Distribution
L81,Home Improvement & Repairs
L03,Professional Societies & Associations
M60,Public Safety Benevolent Associations
N64,Soccer
V,Social Science
M03,Professional Societies & Associations
A70,Humanities
Q43,National Security
C41,Botanical Gardens & Arboreta
K01,Alliances & Advocacy
K31,Food Banks & Pantries
P45,Family Services for Adolescent Parents
D99,Animal-Related  N.E.C.
F12,Fund Raising & Fund Distribution
G11,Single Organization Support
K11,Single Organization Support
L50,Homeowners & Tenants Associations
G02,Management & Technical Assistance
T99,"Philanthropy, Voluntarism & Grantmaking Foundations N.E.C."
U40,Engineering & Technology
P27,Young Mens or Womens Associations
V03,Professional Societies & Associations
A40,Visual Arts
C36,Forest Conservation
D20,Animal Protection & Welfare
A84,Commemorative Events
H45,Lung Diseases Research
F22,Substance Abuse Treatment
B92,Remedial Reading & Encouragement
Q12,Fund Raising & Fund Distribution
H19,Support N.E.C.
A20,Arts & Culture
X03,Professional Societies & Associations
H94,Geriatrics Research
O,Youth Development
P46,Family Counseling
A24,Folk Arts
Y20,Insurance Providers
U50,Biological & Life Sciences
W22,"Public Finance, Taxation & Monetary Policy"
I31,Half-Way Houses for Offenders & Ex-Offenders
Q23,International Exchange N.E.C.
I80,Legal Services
T05,Research Institutes & Public Policy Analysis
U03,Professional Societies & Associations
G94,Geriatrics
Y99,Mutual & Membership Benefit N.E.C.
N6A,Golf
Y25,State-Sponsored Workers Compensation Reinsurance Organizations
P42,Single Parent Agencies
A,"Arts, Culture & Humanities"
D19,Support N.E.C.
B19,Support N.E.C.
K36,Meals on Wheels
E40,Reproductive Health Care
J12,Fund Raising & Fund Distribution
B24,Primary & Elementary Schools
C11,Single Organization Support
P12,Fund Raising & Fund Distribution
T40,Voluntarism Promotion
N72,Special Olympics
W61,Credit Unions
C12,Fund Raising & Fund Distribution
Y43,Voluntary Employees Beneficiary Associations (Non-Government)
N63,Baseball & Softball
P60,Emergency Assistance
Q22,International Academic Exchange
Q31,International Agricultural Development
N11,Single Organization Support
G92,Biomedicine & Bioengineering
E62,Emergency Medical Services & Transport
A54,History Museums
O05,Research Institutes & Public Policy Analysis
H96,Neurology & Neuroscience Research
U42,Engineering
E,Health Care
N80,Professional Athletic Leagues
T20,Private Grantmaking Foundations
T19,Support N.E.C.
N99,Recreation & Sports N.E.C.
J22,Job Training
G,Voluntary Health Associations & Medical Disciplines
V37,Labor Studies
Q40,International Peace & Security
I20,Crime Prevention
S43,Small Business Development
P30,Children & Youth Services
Y11,Single Organization Support
C40,"Botanical, Horticultural & Landscape Services"
D34,Wildlife Sanctuaries
T31,Community Foundations
Q71,International Migration & Refugee Issues
S05,Research Institutes & Public Policy Analysis
P83,Women's Centers
O11,Single Organization Support
I72,Child Abuse Prevention
E61,Blood Banks
W24,Citizen Participation
B99,Education N.E.C.
G54,Epilepsy
A99,"Arts, Culture & Humanities N.E.C."
P51,Financial Counseling
K34,Congregate Meals
B,Education
P43,Family Violence Shelters
X84,Religious Radio
A6B,Singing & Choral Groups
L24,Independent Housing for People with Disabilities
H83,Alzheimers Disease Research
G83,Alzheimers Disease
A19,Support N.E.C.
G90,Medical Disciplines
Q36,International Science & Technology Development 
P31,Adoption
R27,Patients' Rights
G05,Research Institutes & Public Policy Analysis
C99,Environment N.E.C.
D31,Protection of Endangered Species
B84,Alumni Associations
F80,Mental Health Associations
P05,Research Institutes & Public Policy Analysis
R62,Right to Life
Q19,Support N.E.C.
H80,Specifically Named Diseases Research
H92,Biomedicine & Bioengineering Research
I50,Administration of Justice
B50,Graduate & Professional Schools
W50,Telecommunications
X11,Single Organization Support
B82,Scholarships & Student Financial Aid
X,Religion-Related
B60,Adult Education
P22,Urban League
X80,Religious Media & Communications
Q39,International Health Development 
P58,Gift Distribution
Q05,Research Institutes & Public Policy Analysis
Y12,Fund Raising & Fund Distribution
M12,Fund Raising & Fund Distribution
J32,Goodwill Industries
H12,Fund Raising & Fund Distribution
H70,Digestive Diseases & Disorders Research
E65,Organ & Tissue Banks
U,Science & Technology
R99,"Civil Rights, Social Action & Advocacy N.E.C."
